"sf__Id","sf__Error","Subject","ActivityDate","CallType","Status","OwnerId","WhoId"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000ktQxrIAE"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Wish Happy Holidays!","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000ktRLWIA2"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000kt1OsIAI"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB",""
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB",""
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB",""
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Wish A merry christmas","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB",""
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB",""
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB",""
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000ktRupIAE"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000ktSTfIAM"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB",""
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB",""
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000ktQbjIAE"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB",""
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB",""
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000ktRKWIA2"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB",""
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB",""
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB",""
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","F/up did he complete.","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000kseqgIAA"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB","0035f00002G7ip0AAB"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB",""
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000ktSTsIAM"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB",""
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB",""
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","KIT","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB",""
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB",""
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Exam/??","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB",""
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Which codes?","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB",""
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000ktT5cIAE"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB",""
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000ktT5eIAE"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000ktRx5IAE"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB",""
