"Subject","ActivityDate","Type","Status","OwnerId","WhoId"
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB","003Vo00000kt6EQIAY"
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktT5KIAU"
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB",""
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktT5MIAU"
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB",""
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktSeyIAE"
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktQz2IAE"
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB",""
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB",""
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB",""
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB",""
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktT5rIAE"
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB",""
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktQxSIAU"
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktTDnIAM"
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktQadIAE"
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktTDkIAM"
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktQafIAE"
"needs to sign","2025-03-21","Call","Not Started","0055f00000DqpnpAAB","003Vo00000Plc1qIAB"
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB",""
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktTDuIAM"
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB",""
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB",""
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB",""
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktQGpIAM"
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktTEBIA2"
"KIT","2025-03-21","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ksTl7IAE"
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktSqtIAE"
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB",""
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB",""
"KIT","2025-03-21","Call","Not Started","0055f00000DqpnpAAB",""
"BC completed?","2025-03-21","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktTSrIAM"
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB","003Vo00000TPThIIAX"
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB",""
"app complete yet?","2025-03-21","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktTHXIA2"
"Call","2025-03-28","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktRMdIAM"
"Call","2025-03-28","Call","Not Started","0055f00000DqpnpAAB",""
"WHERE DID HE END UP>","2025-03-28","Call","Not Started","0055f00000DqpnpAAB","003Vo00000TPQDAIA5"
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktRvfIAE"
"F/up to schedule SI 1","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktRvGIAU"
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktRwiIAE"
"Call kit","2025-03-29","Call","Not Started","0055f00000DqpnpAAB",""
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktRxXIAU"
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktPgoIAE"
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktRxKIAU"
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","0035f00002G805eAAB"
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktRL9IAM"
"F/up to schedule SI 2","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktRKpIAM"
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktSECIA2"
"F/up to schedule SI 1","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktRKDIA2"
"Call stay connected","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktQaZIAU"
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktRKfIAM"
"Other","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktRLJIA2"
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB",""
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktRJjIAM"
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktRKzIAM"
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktQzzIAE"
"F/u to schedule AI","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktQxoIAE"
"Call - KIT","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktQytIAE"
"F/up to schedule SI 1","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktRKSIA2"
"F/up to schedule SI 1 -- KIT","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktRKVIA2"
"Call kit","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktQxfIAE"
"Call . KIT","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktQylIAE"
"F/up to schedule SI 1","2025-03-29","Call","Not Started","0055f00000DqpnpAAB",""
"F/up to schedule SI 1","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktRKJIA2"
"F/up to schedule SI 1","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktQyhIAE"
"F/up to schedule SI 1","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktQWsIAM"
"Other KIT","2025-03-29","Call","Not Started","0055f00000DqpnpAAB",""
"KIT","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktQbiIAE"
"Called","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktRxWIAU"
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB",""
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktQX7IAM"
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktQW2IAM"
"Call to reconnect","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktSTmIAM"
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB",""
"KIT","2025-03-29","Call","Not Started","0055f00000DqpnpAAB",""
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktRLkIAM"
"F/up to schedule SI 2","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktQEKIA2"
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktO2UIAU"
"F/up to schedule SI 1","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktSTqIAM"
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktQxTIAU"
"KIT","2025-03-29","Call","Not Started","0055f00000DqpnpAAB",""
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktRxQIAU"
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB",""
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB",""
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktRKXIA2"
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB",""
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB",""
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB",""
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktQz0IAE"
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB",""
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktPgoIAE"
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktQzqIAE"
"KIT","2025-03-29","Call","Not Started","0055f00000DqpnpAAB",""
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB",""
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktRKTIA2"
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktRM8IAM"
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB",""
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktQbHIAU"
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktQWxIAM"
"Call","2025-03-29","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktRKRIA2"
"KIT","2025-03-29","Call","Not Started","0055f00000DqpnpAAB",""
"KIT","2025-03-29","Call","Not Started","0055f00000DqpnpAAB",""
"JG/RT connect re next steps","2025-03-29","Call","Not Started","0055f00000DqpnpAAB",""
