"sf__Id","sf__Error","Id","TaskSubtype"
"00TVo00001EAdzNMAT","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: TaskSubtype. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:TaskSubtype --","00TVo00001EAdzNMAT","Call"
"00TVo00001EAdzOMAT","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: TaskSubtype. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:TaskSubtype --","00TVo00001EAdzOMAT","Call"
"00TVo00001EAdzPMAT","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: TaskSubtype. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:TaskSubtype --","00TVo00001EAdzPMAT","Call"
"00TVo00001EAdzQMAT","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: TaskSubtype. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:TaskSubtype --","00TVo00001EAdzQMAT","Call"
"00TVo00001EAdzRMAT","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: TaskSubtype. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:TaskSubtype --","00TVo00001EAdzRMAT","Call"
"00TVo00001EAdzSMAT","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: TaskSubtype. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:TaskSubtype --","00TVo00001EAdzSMAT","Call"
"00TVo00001EAdzTMAT","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: TaskSubtype. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:TaskSubtype --","00TVo00001EAdzTMAT","Call"
"00TVo00001EAdzUMAT","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: TaskSubtype. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:TaskSubtype --","00TVo00001EAdzUMAT","Call"
"00TVo00001EAdzVMAT","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: TaskSubtype. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:TaskSubtype --","00TVo00001EAdzVMAT","Call"
"00TVo00001EAdzWMAT","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: TaskSubtype. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:TaskSubtype --","00TVo00001EAdzWMAT","Call"
